NMAquiferTable,MatchField,LocationId,WellID,OBJECTID,PointID,OSEWellID,OSEWelltagID,HoleDepth,WellDepth,DepthSource,CompletionDate,CompletionSource,MeasuringPoint,MPHeight,CasingDiameter,CasingDepth,CasingDescription,DrillerName,ConstructionMethod,ConstructionNotes,AquiferType,AqClass,FormationZone,StaticWater,WaterNotes,Status,CurrentUse,StatusUserNotes,MonitoringStatus,OpenWellLoggerOK,MonitorOK,SampleOK,DataSource,Notes,MonitorGroup,WellPdf,MonitorStatusReason,HydrographInterp,PrimaryUseSite_USGS,PrimaryUseWater_USGS,SSMA_TimeStamp
dbo.WellData,DataSource,6CE276ED-F5C3-4673-BD15-4945C7A508C3,CCA0FA02-FC90-4F90-87B1-00FC1D6F19B3,39079,SB-0135,X,,,0,A,,,Entered zero for MP height for calculated fields. Actual MP hgt may not be zero.,0,,,,,,,,,110ALVM,,,,L,,,false,false,false,Texas Water Development Board,,0,,,,,,0x000000000005515E
dbo.WellData,DataSource,FBEBE9B0-27CE-4F7C-92F6-56B7361AE457,FEB859F4-8111-438D-B475-0124140330D9,39177,SB-0233,X,,,256,A,,,Entered zero for MP height for calculated fields. Actual MP hgt may not be zero.,0,,,,,,,,,318BSVP,,,,I,,,false,false,false,Texas Water Development Board,,0,SB0233.pdf,,,,,0x000000000005517A
dbo.WellData,DataSource,5A8F34AB-732E-4198-91E2-B44D2CEAC09D,76F5138B-FF35-4255-870A-0197F1E04AC6,39677,SB-0733,X,,,615,A,,,Entered zero for MP height for calculated fields. Actual MP hgt may not be zero.,0,,,,,,,,,112HCBL,,,,X,Test Hole,,false,false,false,Texas Water Development Board,,0,,,,,,0x00000000000551B9
dbo.WellData,DataSource,C661877C-320A-4C3C-9637-4E71C3CB4A5F,82D31EA6-0E6A-4436-8E42-01B9D2D3A941,39744,SB-0800,X,,,264,A,,,Entered zero for MP height for calculated fields. Actual MP hgt may not be zero.,0,,,,,,,,,210CRCS,,,,L,,,false,false,false,Texas Water Development Board,,0,,,,,,0x00000000000551D3
dbo.WellData,DataSource,C219E4D3-57B9-45D3-AAA3-F02BFE11DF16,7D879DC2-D4A3-4AC8-AD22-01DB43607E79,39052,SB-0108,X,,,1185,A,,,Entered zero for MP height for calculated fields. Actual MP hgt may not be zero.,0,,,,,,,,,313DLRM,,,,L,,,false,false,false,Texas Water Development Board,,0,,,,,,0x00000000000551E4
dbo.WellData,DataSource,3D0D9BDE-3173-492B-BD4B-12F0544B0ABD,6D6208F1-F310-4F2B-A9CA-0248C9D2FE9D,39634,SB-0690,X,,,1100,A,,,Entered zero for MP height for calculated fields. Actual MP hgt may not be zero.,0,,,,,,,,,112HCBL,,,,L,,,false,false,false,Texas Water Development Board,,0,,,,,,0x0000000000055224
dbo.WellData,DataSource,732A306D-623C-4B5D-A50C-3F203E8249D6,CB3E2246-33FC-485C-A551-02EE67E2309C,38977,SB-0033,X,,,0,A,,,Entered zero for MP height for calculated fields. Actual MP hgt may not be zero.,0,,,,,,,,,313CRCX,,,,X,,,false,false,false,Texas Water Development Board,,0,,,,,,0x000000000005527F
dbo.WellData,DataSource,7B11B5BC-EA9D-4060-B17D-95FC2393DFF0,7B16F27D-2AB7-452F-824A-033DF3141B6B,39290,SB-0346,X,,,500,A,,,Entered zero for MP height for calculated fields. Actual MP hgt may not be zero.,0,,,,,,,,,318BSVP,,,,D,,,false,false,false,Texas Water Development Board,,0,SB0346.pdf,,,,,0x00000000000552AD
dbo.WellData,DataSource,5A9A0CE4-1481-4B23-AE80-EC7B36AC1371,02E69AC7-F83D-4E7A-B44A-0409068F3964,39096,SB-0152,X,,,302,A,,,Entered zero for MP height for calculated fields. Actual MP hgt may not be zero.,0,,,,,,,,,112SLBL,,,,L,,,false,false,false,Texas Water Development Board,,0,,,,,,0x0000000000055322
dbo.WellData,DataSource,50CED006-8D57-4A54-ABD6-82FEFCCB6E4E,D9011CD6-8D17-4A78-B4C8-04C0E6E34954,39064,SB-0120,X,,,163,A,,,Entered zero for MP height for calculated fields. Actual MP hgt may not be zero.,0,,,,,,,,,112SLBL,,,,X,,,false,false,false,Texas Water Development Board,,0,,,,,,0x000000000005537A
