NMAquiferTable,MatchField,LocationId,WellID,OBJECTID,PointID,OSEWellID,OSEWelltagID,HoleDepth,WellDepth,DepthSource,CompletionDate,CompletionSource,MeasuringPoint,MPHeight,CasingDiameter,CasingDepth,CasingDescription,DrillerName,ConstructionMethod,ConstructionNotes,AquiferType,AqClass,FormationZone,StaticWater,WaterNotes,Status,CurrentUse,StatusUserNotes,MonitoringStatus,OpenWellLoggerOK,MonitorOK,SampleOK,DataSource,Notes,MonitorGroup,WellPdf,MonitorStatusReason,HydrographInterp,PrimaryUseSite_USGS,PrimaryUseWater_USGS,SSMA_TimeStamp
dbo.WellData,DataSource,206C487E-7BCB-41C2-A9F9-76757F589C3D,703B485E-ADC8-479E-ABE7-013CC2702C6D,36395,BC-0210,,,,,,,,,0,,,,,,,,,,,,,,,H,false,false,false,"Bernalillo County, Sara Chudnoff",,0,,,,,,0x000000000005518D
dbo.WellData,DataSource,DE3CD3FB-A82B-49A6-9CE3-541D0447EB64,F77B7259-9C40-491C-A111-0191815D9FA4,36448,BC-0263,E-07047,,,260,R,1997-09-27 00:00:00.000,D,,1.81,0.42,260,,Tom Massey Drilling,A,,,,325MDER,160,WBZ: 158' to 203' limestone @ 3 GPM; 231' to 260' limestone @ 7 GPM.,,,,H,false,false,false,"Bernalillo County, Sara Chudnoff",,0,BC0263.pdf,,,,,0x00000000000551B7
dbo.WellData,DataSource,CF12A8DE-EE96-4D8C-80E8-E2983B48D5B1,5412743A-2FAC-4AC0-8D5C-039C5A2D568D,6881,BC-0013,S-00081,,140,140,R,1970-10-02 00:00:00.000,R,,1.82,0.42,140,,Adkison Drilling,,,,,,80,WBZ: 105' to 125' sandstone; 125' to 140' grey shale.,I,D,,H,false,false,false,"Bernalillo County, Sara Chudnoff",,0,BC0013.pdf,,,,,0x00000000000552E2
dbo.WellData,DataSource,46471A68-DE65-4FD0-847D-286513043CFC,24D64431-3340-4C81-8876-04E86D60AF7F,6922,BC-0054,S-01439,,460,460,R,1989-07-11 00:00:00.000,D,,0.78,0.42,460,,"Sandia Well Drilling, Inc.",A,,,,325MDER,320,WBZ: 200' to 201' grey limestone @ 1 GPM; 340' to 420' grey limestone @ 0.5 GPM; 420' to 421' grey limestone @ 3 GPM.,,,,H,false,false,false,"Bernalillo County, Sara Chudnoff",,0,BC0054.pdf,,,,,0x000000000005538E
dbo.WellData,DataSource,20156F7C-C1A5-406B-BE20-072957021471,60973826-1EC0-4157-942A-05273F68CAAB,6998,BC-0130,E-08248 S5,,385,385,R,2004-01-07 00:00:00.000,D,,1.9,0.55,385,,HydroGeologic Services,A,,,,325MDER,263,WBZ: 250' to 385' fractured limestone @ +35 GPM.,,,,H,false,false,false,"Bernalillo County, Sara Chudnoff",,0,BC0130.pdf,,,,,0x00000000000553AE
dbo.WellData,DataSource,F4AF5F57-DB04-413D-B135-48A3FA74E618,A590900F-DC41-4DCF-920E-052F077F4BD8,6969,BC-0101,S-00131 POD2,,280,280,R,2009-09-16 00:00:00.000,D,,1.26,0.38,280,,"Sandia Well Service, Inc.",P,,,,231CHNL,102,WBZ: 155' to 160' red shale @ 10+ GPM.,,,,H,false,false,false,"Bernalillo County, Sara Chudnoff",,0,BC0101.pdf,,,,,0x00000000000553B1
dbo.WellData,DataSource,1B10A9C3-931D-4EF5-A7DC-F146F1BDE8B8,E30D5AE2-93B9-4410-9566-064D7688FC3F,7023,BC-0155,S-01992,,490,490,R,1996-11-08 00:00:00.000,D,,1.68,0.38,305,,Mountain Valley Drilling Co.,A,,,,318ABO,305,WBZ: 375' to 376' red sandstone @ 2 GPM; 415' to 416' grey limestone @ 4 GPM; 475' to 476' red and grey sandstone @ 6 GPM.,,,,H,false,false,false,"Bernalillo County, Sara Chudnoff",,0,BC0155.pdf,,,,,0x0000000000055448
dbo.WellData,DataSource,7F73207D-4F90-488F-9C85-7D2847DD8615,FB133177-C652-4B54-B78E-0682572F4494,6891,BC-0023,RG-35205,,85,85,D,1980-10-17 00:00:00.000,D,,2.3,0.42,85,,Garcia's Drilling Co.,A,,,,400PCMB,60,WBZ: 60' to 30' grey sand rock @ 2-25 GPM.,,,,H,false,false,false,"Bernalillo County, Sara Chudnoff",,0,BC0023.pdf,,,,,0x0000000000055469
dbo.WellData,DataSource,27F6EF61-5DDA-439C-ADD0-DC91CD895D04,E9E039D5-D413-4D53-8739-06E2173040EE,6872,BC-0004,S-01016,,360,360,D,1985-03-04 00:00:00.000,D,,1.4,0.42,360,,Sandia Well Drilling,A,,,,211MVRD,265,WBZ: 340'-341' White sandstone @ 12 gpm,,,,H,false,false,false,"Bernalillo County, Sara Chudnoff",,0,BC0004.pdf,,,,,0x00000000000554A3
dbo.WellData,DataSource,9515B785-69AF-4898-846F-F5947C78A6E8,9C3FFEA2-F032-4A1B-88D9-0704EEFBE59C,7028,BC-0160,S-00660,,260,260,R,1980-12-12 00:00:00.000,D,,0.8,0.42,260,,"Earl & Sons, Inc.",P,,,,313SADG,70,WBZ: 200' to 260' sandstone @ 12 GPM.,,,,H,false,false,false,"Bernalillo County, Sara Chudnoff",,0,BC0160.pdf,,,,,0x00000000000554C0
dbo.WellData,DataSource,8B180E5F-37CD-4410-A215-7FBED068831C,2D568BC9-77FA-4482-B74B-07744E80E79E,6928,BC-0060,,,,,R,,,,1.52,,,,,,,,,,,,,,,H,false,false,false,"Bernalillo County, Sara Chudnoff",,0,,,,,,0x0000000000055502
dbo.WellData,DataSource,E321AF53-7C70-4470-9D30-3D3A7D4B03E8,AFD8F3F0-EE0D-48EE-B941-07A39472BCB5,7002,BC-0134,S-02246,,440,440,R,2003-07-23 00:00:00.000,D,,1.11,0.42,440,,"Sandia Well Service, Inc.",A,,,,318ABO,320,WBZ: 340' to 360' soft red shale @ 7-10 GPM.,,,,H,false,false,false,"Bernalillo County, Sara Chudnoff",,0,BC0134.pdf,,,,,0x0000000000055516
dbo.WellData,DataSource,1AB7B988-8776-4768-A08E-1098A78CEEC8,47F78577-6C9C-408B-864C-07C56BCB34AF,7056,BC-0188,,,,,R,,,,0,,,,,,,,,,,,,,,X,false,false,false,"Bernalillo County, Sara Chudnoff",,0,,,,,,0x000000000005552D
dbo.WellData,DataSource,0B3BFB7E-5CDF-4F71-B127-BDA3BAFF4B93,8200873F-2286-4273-A4FB-07F198A2D8C5,36405,BC-0220,,,,,,,,,0,,,,,,,,,,,,,,,H,false,false,false,"Bernalillo County, Sara Chudnoff",,0,,,,,,0x0000000000055550
dbo.WellData,DataSource,6822933D-F720-4B71-B891-6390200E57EC,941EEE06-D4FB-4A1C-9A46-08021E73B00E,7039,BC-0171,S-00991,,640,640,R,1984-10-10 00:00:00.000,D,,1.63,0.42,640,,"Earl & Sons, Inc.",P,,,,325MDER,240,WBZ: 500' to 640' limestone @ 2-3 GPM.,,,,H,false,false,false,"Bernalillo County, Sara Chudnoff",,0,BC0171.pdf,,,,,0x0000000000055559
dbo.WellData,DataSource,33FCD95A-BDB9-4241-8825-40048980F0DC,008465ED-0677-4590-AC1B-087FB05F71A6,6893,BC-0025,RG-36005,,,180,R,,,,0.25,,,,,,,,,410PRCG,,,,,,H,false,false,false,"Bernalillo County, Sara Chudnoff",,0,,,,,,0x00000000000555A7
dbo.WellData,DataSource,44CF477B-2B66-41CD-8B43-7D2654C1FA4A,C7A5F9F2-B90A-4F04-A76C-08BF54D4E850,36384,BC-0199,,,,124,R,,,,2,,,,,,,,,318YESO ,,,,,,H,false,false,false,"Bernalillo County, Sara Chudnoff",,0,,,,,,0x00000000000555D5
dbo.WellData,DataSource,C7B2FD16-F9E3-4C2D-96A5-A1B4B1685941,FC7A4E23-ADE4-4823-9E8C-09C51A833C90,7042,BC-0174,S-01585,,430,430,R,1991-09-09 00:00:00.000,D,,1.37,0.42,430,,"W.H. Adkison Drilling, Inc.",A,,,,325MDER,170,WBZ: 310' to 331' grey shale @ 3 GPM; 411' to 421' grey shale @ 2 GPM; 421' to 428' fractured limestone @ 5 GPM.,,,,H,false,false,false,"Bernalillo County, Sara Chudnoff",,0,BC0174.pdf,,,,,0x000000000005566B
dbo.WellData,DataSource,3F0B9D4D-2637-449D-970C-05C106161710,55C10D0E-0F4F-45E8-9057-0A49EDD1BBDB,6981,BC-0113,,,,,R,,,,1.18,,,,,,,,,,,,,,,H,false,false,false,"Bernalillo County, Sara Chudnoff",,0,,,,,,0x00000000000556B8
dbo.WellData,DataSource,F1B1F12C-5144-4B39-A31C-596C57BE75E1,DAB6981F-AC34-48A1-9C2A-0B1B12676ADB,7051,BC-0183,S-01465,,520,520,R,1989-09-18 00:00:00.000,D,,1.87,0.42,520,,"Earl & Sons, Inc.",P,,,,325MDER,300,WBZ: 480' to 500' limestone @ 2+ GPM.,,,,H,false,false,false,"Bernalillo County, Sara Chudnoff",,0,BC0183.pdf,,,,,0x0000000000055737
dbo.WellData,DataSource,C1030201-77FA-4BC6-8C14-C461859A0F19,46359644-D5E6-424C-9C86-0CA37E69D1C7,6995,BC-0127,RG-73676,,240,240,R,2000-04-02 00:00:00.000,D,,2.55,0.3824,240,,"Gatling Well Drilling, Co.",A,,,,410PRCG,60,WBZ: 65' to 66' grey & white granite @ 2 GPM; 210' to 211' grey & white granite @ 15 GPM.,C,D,Well out of production after Sept. 2014.,H,false,false,false,"Bernalillo County, Sara Chudnoff",,0,BC0127.pdf,,,,,0x0000000000055823
dbo.WellData,DataSource,F7BEA65F-66A4-4655-B573-B899630913D2,65A170A9-1F91-41A7-8805-119B738C6E48,6941,BC-0073,S-02208,,,290,R,,,,0,,,,,,,,,231CHNL,,,I,,,H,false,false,false,"Bernalillo County, Sara Chudnoff",,0,,,,,,0x0000000000055AEE
dbo.WellData,DataSource,B5894AD7-22E7-4440-91DC-7F5655E08115,5C204534-BF04-49F4-AD1F-11FC0E291BA5,36413,BC-0228,,,,170,R,,,,0,,,,,,,,,325MDER,,,,,,H,false,false,false,"Bernalillo County, Sara Chudnoff",,0,,,,,,0x0000000000055B31
dbo.WellData,DataSource,E1018ADF-6944-4FE2-B01A-7745FA79655C,F56C1C92-8B89-4F6E-9014-13C9571509EA,6912,BC-0044,S-00507,,240,240,R,1978-05-18 00:00:00.000,D,,1.72,0.42,240,,Garcia Drilling,A,,,,325MDER,160,WBZ: 200' to 220' red clay & sandrock @ 15-20 GPM.,,,,H,false,false,false,"Bernalillo County, Sara Chudnoff",,0,BC0044.pdf,,,,,0x0000000000055C42
dbo.WellData,DataSource,FCC43659-BFFC-4D9A-AD69-F1C182153022,2D247802-DA91-44B7-8946-150C926EAFFE,7037,BC-0169,,,,,R,,,,1.41,,,,,,,,,,,,,,,H,false,false,false,"Bernalillo County, Sara Chudnoff",,0,,,,,,0x0000000000055CE9
dbo.WellData,DataSource,5F5AEAC4-CF12-4ED4-B519-DD4CA70F39D0,59406C95-FF9A-4BE2-B019-15D5E6A9E8BF,36434,BC-0249,RG-90868,,,370,R,,,,1.67,,,,,,,,,325MDER,,,,,,H,false,false,false,"Bernalillo County, Sara Chudnoff",,0,,,,,,0x0000000000055D67
dbo.WellData,DataSource,3D0DEFAE-3191-45E9-8356-DB21E808527C,26381C4B-7A36-4503-BF36-16A94F7A74DA,6945,BC-0077,S-01663,,420,420,R,1992-10-07 00:00:00.000,D,,1.14,0.42,420,,"Earl & Sons, Inc.",P,,,,231AGZC,200,WBZ: 375' to 420' sandstone @ 10 GPM.,,,,H,false,false,false,"Bernalillo County, Sara Chudnoff",,0,BC0077.pdf,,,,,0x0000000000055DFC
dbo.WellData,DataSource,26E7AE86-5D60-402E-9E17-A0ADCB4DD081,1CE2CBAF-0007-401B-BA1B-17534F9539A2,6967,BC-0099,S-00735,,33,33,R,1982-01-27 00:00:00.000,D,,0.8,0.42,33,,Sandia Well Drilling,A,Well went dry and was redrilled.,,,317ABYS,14,WBZ: 20' to 21' red sandstone @ 18 GPM.,,,Well went dry and was redrilled.,H,false,false,false,"Bernalillo County, Sara Chudnoff",,0,BC0099.pdf,,,,,0x0000000000055E66
